OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Memorandum of Agreement - PCC and Data Host (DH),No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10037 (12/07),Memorandum of Agreement - PCC and Data Host (DH),10037_PREDICT_MOA_PCC Data Host_Final.doc, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Authorization Letter for Data Host,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10038 (12/07),Authorization Letter for Data Host,10038_PREDICT_AuthorizationLtr_DH_v1.2.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Authorization Letter for Data Provider,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10039 (12/07),Authorization Letter Data Provider,10039_PREDICT_AuthorizationLtr_DP_v1.2.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Sponsorship Letter,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10040 (12/07),Sponsorship Letter,10040_PREDICT_Sponsorship Form_v6.1.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Notice of Dataset Access/Application Expiration,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10041 (12/07),Notice of Dataset Access/Application Expiration,10041_PREDICT_Notice of Dataset_Application Expiration_v3.0.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Notice for Certificate of Data Destruction,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10042 (12/07),Notice for Certificate of Data Destruction,10042_PREDICT_Data Destruction_v2.0.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Notice of Data Access Expiration,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,10061 (04/10),Notice of Data Access Expiration,10061_PREDICT_DataExtension_v3.0.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0012,201006-1640-002,ICR Rev,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT),Amendment to Research/User Agreement,No,12/9/10,12/31/13,"This request is for revision of a previously approved collection - The Protected Repository for the Defense of Infrastructure Against Cyber Threats (PREDICT) initiative facilitates the accessibility of computer and network operational data for use in cyber defense research and development through the establishment of distributed repositories of security-relevant network operations data, and the application procedures, protection policies, and review processes necessary to make this data available to the cyber defense research community. The forms will allow the PREDICT initiative to provide a central repository, accessible through a Web-based portal (https://www.predict.org/) that catalogs current computer network operational data, provide secure access to multiple sources of data collected as a result of use and traffic on the Internet, and facilitate data flow among PREDICT participants for the purpose of developing new models, technologies and products that support effective threat assessment and increase cyber security capabilities.",Form and Instruction, ,Amendment to Research/User Agreement,10060 (04/10),10060_PREDICT_MOA_Amendment_5.0.docx, ,Yes,No,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0013,201110-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,Biodefense Knowledge Center,SME Registration Form,No,1/26/12,1/31/15,"The Biodefense Knowledge Center is collecting Subject Matter Experts (SMEs) information in conjunction with the Office of the Director of National Intelligence (ODNI), which operates under the authority of the National Security act of 1947, as amended by the Intelligence Reform and Terrorism Prevention Act of 2004.  The SME information is necessary to understand who can provide scientific expertise for peer review of classified life science programs.  In addition, the directory makes it easier to identify scientific specialty areas for which there is a shortage of Subject Matter Experts (SMEs) with appropriate security clearances.
The SME Directory uses electronic (web-based) technology to collect, maintain, and transmit SME information.  The SMEs have access to their own data and are able to edit and update the information electronically. 
",Form and Instruction, ,DHS Form 10043,SME Registration,BKC_Registration_Form_ScreenShot_2011.doc,https://bkms.llnl.gov/sme,Yes,Yes,Fillable Fileable,Intelligence Operations,Intelligence Planning and Direction/Needs,Individuals or Households
1640-0015,201204-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,DHS S&T Project 25 (P25) Compliance Assessment Program (CAP),SUPPLIER¿S DECLARATION OF COMPLIANCE ,No,7/29/12,7/31/15,"The Department of Homeland Security needs to be able to collect essential information from manufacturers on their products that have met P25 standards as demonstrated through the P25 CAP.  Equipment suppliers will provide information to publicly attest to their products' compliance with a specific set of P25 standards.  Accompanied by a Summary Test Report that substantiate this declaration, the SDoC constitutes a company's formal, public attestation of compliance with the standards for the equipment.  In providing this information, companies will consent making this information public.  In turn, the emergency response community will use this information to identify P25-compliant communications systems.",Form and Instruction, ,DHS FORM 10044,Supplier's Declaration of Compliance,P25CABSDOC_REQSeptember2009v2.pdf,http://www.safecomprogram.gov/SiteCollectionDocuments/P25CABSDOC_REQSeptember2009v2.pdf,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0015,201204-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,DHS S&T Project 25 (P25) Compliance Assessment Program (CAP),Summary of Test Report,No,7/29/12,7/31/15,"The Department of Homeland Security needs to be able to collect essential information from manufacturers on their products that have met P25 standards as demonstrated through the P25 CAP.  Equipment suppliers will provide information to publicly attest to their products' compliance with a specific set of P25 standards.  Accompanied by a Summary Test Report that substantiate this declaration, the SDoC constitutes a company's formal, public attestation of compliance with the standards for the equipment.  In providing this information, companies will consent making this information public.  In turn, the emergency response community will use this information to identify P25-compliant communications systems.",Form and Instruction, ,DHS FORM 10056,Summary Test Report,P25CABSTR_REQSeptember2009v2.pdf,http://www.safecomprogram.gov/SiteCollectionDocuments/P25CABSTR_REQSeptember2009v2.pdf,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0015,201204-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,DHS S&T Project 25 (P25) Compliance Assessment Program (CAP),Summary Test Report,No,7/29/12,7/31/15,"The Department of Homeland Security needs to be able to collect essential information from manufacturers on their products that have met P25 standards as demonstrated through the P25 CAP.  Equipment suppliers will provide information to publicly attest to their products' compliance with a specific set of P25 standards.  Accompanied by a Summary Test Report that substantiate this declaration, the SDoC constitutes a company's formal, public attestation of compliance with the standards for the equipment.  In providing this information, companies will consent making this information public.  In turn, the emergency response community will use this information to identify P25-compliant communications systems.",Form, ,DHS Form 10056,Summary Test Report Template,Summary Test Report Template.pdf,http://www.safecomprogram.gov/SAFECOM/currentprojects/project25cap/project25cap.htm,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0015,201204-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,DHS S&T Project 25 (P25) Compliance Assessment Program (CAP),Summary Test Report,No,7/29/12,7/31/15,"The Department of Homeland Security needs to be able to collect essential information from manufacturers on their products that have met P25 standards as demonstrated through the P25 CAP.  Equipment suppliers will provide information to publicly attest to their products' compliance with a specific set of P25 standards.  Accompanied by a Summary Test Report that substantiate this declaration, the SDoC constitutes a company's formal, public attestation of compliance with the standards for the equipment.  In providing this information, companies will consent making this information public.  In turn, the emergency response community will use this information to identify P25-compliant communications systems.",Instruction, , , ,Summary Test Report Instructions.pdf,http://www.safecomprogram.gov/NR/rdonlyres/A12FCD89-F5F1-40A5-BC0D-F35A68906B62/0/P25CABSTR_REQFebruary2009release.pdf,Yes,Yes,Fillable Printable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1640-0016,201106-1640-001,ICR Ext,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,First Responder Communities of Practice,User Registration Form,No,9/14/11,9/30/12,"The FRCoP web-based tool collects profile information from first responders and select authorized non-first responder users to facilitate networking and formation of online communities.  All users are required to authenticate prior to entering the site.  In addition, the tool provides members the capability to create wikis, discussion threads, blogs, and documents allowing them to enter and upload content in accordance with the site's Rules of Behavior.  Members are also able to participate in threaded discussions and comment on other member's content.  The S&T FRCoP program is responsible for providing a collaborative environment for the first responder community to share information, best practices, and lessons learned.  Section 313 of the Homeland Security Act of 2002 (PL 107-296) established this requirement.",Form and Instruction, ,DHS Form 10059 (9/09),FrCop Data Collection Instruments 07072011,FrCop_Data_Collection_Instruments_07072011.pdf,https://communities.firstresponder.gov/web/gues,Yes,Yes,Fillable Printable,Homeland Security,Catastrophic Defense,"State, Local, and Tribal Governments"
1640-0017,201102-1640-001,ICR New,1600,DHS,Department of Homeland Security,1640,S&T,Directorate of Science and Technology,CyberFETCH ,Request a CyberFETCH Account,No,9/14/11,9/30/13,"The DHS S&T Directorate CyberForensics Electronic Technology Clearinghouse (CyberFETCH) program is responsible for providing a collaborative environment for cyber forensics practitioners from law enforcement, private sector and academia. This clearinghouse will enable its users to share information, best practices and lessons learned within a secure collaborative environment. In order for a user to access this clearinghouse, he/she must complete a Registration Form to establish a user account. Section 313 of the Homeland Security Act of 2002 (PL 107-296) established this requirement. Profile information (including name; organization name and address in which they are affiliated with; job title; phone number; email address; US Person status; sponsoring organization's address,  point of contact, phone number, and email address ) will be collected from federal, state and local law enforcement, private sector and academia practitioners voluntarily requesting access to the CyberFETCH website. This will be accomplished by an electronic Registration Form that will be on the CyberFETCH website. The information collected will be leveraged to determine the authenticity and suitability of the practitioner requesting access. Once approved, users will utilize the collaborative environment to upload documents/resources, exchange information, network with other users, as well as post blogs and comments. 
",Form, ,DHS Form 10073,Request a CyberFETCH Account,FETCH PRA_Updated Registration.JPG,https://cyberfetch.org/user/registration,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,"State, Local, and Tribal Governments"
1651-0001,201202-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing",Cargo Declaration,No,6/22/12,6/30/15,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing is essential to CBP for the control of cargo and for pre-arrival targeting of shipments for enforcement examination purposes.  ",Form, ,1302,Inward Cargo Declaration,CBP_Form_1302.pdf,https://forms.customs.gov/customsrf/getformharness.asp?formName=cf-1302-form.xft,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0001,201202-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing",Export Cargo Declaration,No,6/22/12,6/30/15,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing is essential to CBP for the control of cargo and for pre-arrival targeting of shipments for enforcement examination purposes.  ",Form, ,1302A,Cargo Declaration (Outward),CBP_Form_1302A.pdf,https://forms.customs.gov/customsrf/getformharness.asp?formName=cf-1302a-form.xft,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0001,201202-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing",Air Cargo Manifest,No,6/22/12,6/30/15,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing is essential to CBP for the control of cargo and for pre-arrival targeting of shipments for enforcement examination purposes.  ",Form, ,7509,Air Cargo Manifest,CBP_Form_7509.pdf,http://forms.cbp.gov/pdf/CBP_Form_7509.pdf,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0001,201202-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing",Inward Cargo Manifest,No,6/22/12,6/30/15,"Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing is essential to CBP for the control of cargo and for pre-arrival targeting of shipments for enforcement examination purposes.  ",Form, ,7533,Inward Cargo Manifest,CBP_Form_7533.pdf,http://forms.cbp.gov/pdf/CBP_Form_7533.pdf,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0002,200906-1651-004,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,General Declaration,General Declaration,No,8/3/09,8/31/12,This collection of information is used to document clearance by the arriving aircraft at the requested inspectional facilities and inspections by appropriate regulatory agency staffs.      ,Form, ,7507,General Declaration (Outward/Inward),CBP_Form_7507.pdf,http://forms.cbp.gov/pdf/CBP_Form_7507.pdf,No, ,Fillable Fileable,Homeland Security,Border and Transportation Security,Private Sector
1651-0003,201010-1651-002,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Transporation Entry and Manifest of Goods Subject to CBP Inspection and Permit,Transporation Entry and Manifest of Goods Subject to CBP Inspection and Permit,No,2/11/11,2/28/14,"Forms 7512, ¿Transportation Entry and Manifest of Goods Subject to CBP Inspection and Permit¿ and 7512A, ¿Continuation Sheet¿, allow CBP to exercise proper control over merchandise moving in-bond (merchandise that has not entered the commerce of the United States).  These forms provide documentation that CBP uses for enforcement, targeting, and protection of revenue.",Form and Instruction, ,7512,Transportation Entry and Manifest of Goods Subject to CBP Inspection and Permit,CBP_Form_7512.pdf,http://forms.cbp.gov/pdf/CBP_Form_7512.pdf,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0003,201010-1651-002,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Transporation Entry and Manifest of Goods Subject to CBP Inspection and Permit,Transporation Entry and Manifest of Goods Subject to CBP Inspection and Permit,No,2/11/11,2/28/14,"Forms 7512, ¿Transportation Entry and Manifest of Goods Subject to CBP Inspection and Permit¿ and 7512A, ¿Continuation Sheet¿, allow CBP to exercise proper control over merchandise moving in-bond (merchandise that has not entered the commerce of the United States).  These forms provide documentation that CBP uses for enforcement, targeting, and protection of revenue.",Form and Instruction, ,7512A,Continuation Sheet,CBP_Form_7512A.pdf,http://forms.cbp.gov/pdf/CBP_Form_7512A.pdf,Yes,Yes,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0004,201010-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Application for Exportation of Articles Under Special Bond,Application for Exportation of Articles Under Special Bond,No,1/12/11,1/31/14,This collection is used by importers for articles which may be entered temporarily into the United States and are free of duty under bond and which are exported within one year from the date of importation.       ,Form and Instruction, ,3495,Application for Exportation of Articles under Special Bond,CBP_Form_3495.pdf,http://forms.cbp.gov/pdf/CBP_Form_3495.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0005,200912-1651-002,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Application-Permit-Special License Unlading/Lading, Overtime Services","Application-Permit-Special License Unlading/Lading, Overtime Services",No,2/17/10,2/28/13,"CBP Form 3171, is used by commercial carriers and importers to request permission to unlade imported merchandise, baggage, or passengers and for overtime services of Customs officers in connection with lading or unlading of merchandise, or the entry or clearance of a vessel, including the boarding of a vessel for preliminary supplies, ship's stores, sea stores, or equipment not to be reladen, which is subject to free or duty-paid entry.   ",Form and Instruction, ,3171,"Application-Permit-Special License Unlading/Lading, Overtime Services",CBP_Form_3171.pdf,http://forms.cbp.gov/pdf/CBP_Form_3171.pdf,No, ,Fillable Printable,Homeland Security,Border and Transportation Security,Private Sector
1651-0006,200906-1651-005,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Application & Approval to Manipulate, Examine, Sample or Transfer Goods","Application & Approval to Manipulate, Examine, Sample or Transfer Goods",No,9/4/09,9/30/12,"Form 3499 is prepared by importers or consignee as an application to request examination, sampling, or transfer of merchandise under Customs and Borders Protection supervision.  This Form is also an application for the manipulation of merchandise in a bonded warehouse and abandonment or destruction of merchandise.    ",Form, ,3499,"Application & Approval to Manipulate, Examine, Sample or Transfer Goods",CBP_Form_3499.pdf,http://forms.cbp.gov/pdf/CBP_Form_3499.pdf,No, ,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0007,200911-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Application for Allowance in Duties,Application for Allowance in Duties,No,2/12/10,2/28/13,This information collection is required by CBP in instances of claims of damaged or defective merchandise on which an allowance in duty is made in the liquidation of an entry.  This information is used to substantiate importer's claims for such duty allowances.      ,Form and Instruction, ,Form 4315,Application for Allowance in Duties,CBP_Form_4315.pdf,http://forms.cbp.gov/pdf/CBP_Form_4315.pdf,No, ,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0008,200907-1651-004,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Application for Identificaton Card,Application for Identificaton Card,No,10/27/09,10/31/12,"CBP Form 3078 is used by licensed Cartman, Lighterman, Warehouseman, brokerage firms, foreign trade zones, container station operators, building maintenance workers, and other employees requring access to CBP secure areas to apply for an identification card so they may legally handle merchandise in CBP custody.    ",Form, ,CBP-3078,Application for Indentification Card,CBP_Form_3078.pdf,http://forms.cbp.gov/pdf/CBP_Form_3078.pdf,No, ,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0009,201012-1651-002,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,U.S. Customs Declaration,U.S. Customs Declaration,No,2/15/11,2/28/14,"The Customs Declaration, CBP Form 6059-B, facilitates the clearance of persons and their goods arriving in the U.S. by requiring basic information necessary for CBP to determine enforcement of all applicable laws and regulations. ",Form and Instruction, ,6059B,Customs Declaration,CBP 6059B ENG (1007) FINAL No Background.pdf,http://www.cbp.gov/xp/cgov/travel/vacation/sample_declaration_form.xml,No, ,Paper Only,International Affairs and Commerce,Global Trade,Individuals or Households
1651-0010,200907-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Certificate of Registration,Certificate of Registration (Form 4455),No,8/7/09,8/31/12,The Certificate of Registration is used to expedite free entry or entry at a reduced rate on foreign made personal articles which are taken abroad. These articles are dutiable each time they are brought into the U.S. unless there is acceptable proof of prior possession.     ,Form, ,4455,Certificate of Registration,CBP_Form_4455.pdf,http://forms.cbp.gov/pdf/CBP_Form_4455.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Individuals or Households
1651-0010,200907-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Certificate of Registration,Certificate of Registration for Personal Effects Taken Abroad (Form 4457),No,8/7/09,8/31/12,The Certificate of Registration is used to expedite free entry or entry at a reduced rate on foreign made personal articles which are taken abroad. These articles are dutiable each time they are brought into the U.S. unless there is acceptable proof of prior possession.     ,Form and Instruction, ,4457,Certificate of Registration for Personal Effects Taken Abroad (Form 4457),CBP_Form_4457.pdf,http://forms.cbp.gov/pdf/CBP_Form_4457.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Individuals or Households
1651-0011,200908-1651-002,ICR Rev,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Declaration for Free Entry of Returned American Products,Declaration for Free Entry of Returned American Products,No,12/1/09,12/31/12,This collection of information is used as supporting documents which substantiate the claim for duty free status for returning American products.       ,Form, ,FORM-3311,Declaration for Free Entry of Returned American Products,CBP_Form_3311.pdf,http://forms.cbp.gov/pdf/CBP_Form_3311.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0012,200906-1651-003,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Lien Notice,Lien Notice,No,8/4/09,8/31/12,"The Lien Notice enables the carriers, cartman, and similar businesses to notify Customs that a lien exists against an individual/business for non-payment of freight charges, etc., so that Customs and Border Protection will not permit delivery of the merchandise from public stores or from a bonded warehouse until the line is discharged.   ",Form, ,3485,Lien Notice,CBP_Form_3485.pdf,http://forms.cbp.gov/pdf/CBP_Form_3485.pdf,No, ,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0013,201111-1651-002,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,"Entry and Manifest of Merchandise Free of Duty, Carrier's Certificate and Release","Entry and Manifest of Merchandise Free of Duty, Carrier's Certificate and Release",No,2/24/12,2/28/14,CBP Form 7523 is used by carriers and importers as a manifest for the entry of merchandise free of duty under certain condition and by CBP to authorize the entry of such merchandise.  It is also used by carriers to show that the articles being imported are to be released to the importer or consignee.     ,Form, ,7523,Entry and Manifest Free of Duty,CBP_Form_7523.pdf,http://forms.cbp.gov/pdf/CBP_Form_7523.pdf,Yes,No,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
1651-0014,201003-1651-001,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Declaration for Free Entry of Unaccompanied Articles,Declaration for Free Entry of Unaccompanied Articles,No,3/9/10,3/31/13,"The Declaration for Free Entry of Unaccompanied Articles, Customs Form 3299, is prepared by the individual or the broker acting as agent for the individual, or in some cases, the CBP officer. It serves as a declaration for duty-free of merchandise under one of the applicable provisions of the tariff schedule.      ",Form, ,3299,Declaration for Free Entry of Unaccompanied Articles,CBP_Form_3299.pdf,http://forms.cbp.gov/pdf/CBP_Form_3299.pdf,No, ,Fillable Printable,International Affairs and Commerce,Global Trade,Individuals or Households
1651-0015,201205-1651-005,ICR Ext,1600,DHS,Department of Homeland Security,1651,USCBP,U.S. Customs and Border Protection,Temporary Application for Extension of Bond for Importation,Temporary Application for Extension of Bond for Importation,No,8/17/12,8/31/15,Imported merchandise which is to remain in the U.S. Customs territory for 1 year or less without duty payment is entered as a temporary importation.  The importer may apply for an extension of this period on Form 3173.      ,Form, ,3173,Application for Extension of Bond for Temporary Importation,CBP_Form_3173.pdf,http://forms.cbp.gov/pdf/CBP_Form_3173.pdf,Yes,Yes,Fillable Printable,International Affairs and Commerce,Global Trade,Private Sector
