OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0092,201110-1615-001,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program,No,4/12/12,4/30/15,Form and Instruction, ,No Form Number,E-Verify Program Screen Shots,E-Verify Screenshots and Data Elements Update 2012-4-4.ppt,uscis.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Private Sector
1615-0095,201108-1615-008,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Appeal to the Office of Administrative Appeals (AAO),No,12/2/11,8/31/12,Form, ,I-290B,Notice of Appeal to the Office of Administrative Appeals (AAO),I-290B Form 8-17-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0095,201108-1615-008,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Appeal to the Office of Administrative Appeals (AAO),No,12/2/11,8/31/12,Instruction, , , ,I-290B Instr 8-17-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0096,200902-1615-007,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Historical Records Services Request,No,4/29/09,8/31/12,Form, ,G-1041,Historical Records Services Request,G-1041 Form.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0096,200902-1615-007,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Historical Records Services Request,No,4/29/09,8/31/12,Form, ,G-1041A,Geneology Records Request,G-1041A Form.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0096,200902-1615-007,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Historical Records Services Request,No,4/29/09,8/31/12,Instruction, , , ,G-1041instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0096,200902-1615-007,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Historical Records Services Request,No,4/29/09,8/31/12,Instruction, , , ,G-1041Ainstr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0097,201103-1615-011,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Sworn Statement of Refugee Applying for Admission to the United States,No,6/6/11,8/31/12,Form and Instruction, ,G-646,Sworn Statement of Refugee Applying for Admission to the United States,G-646 Form and Instructions.pdf, ,No, ,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0099,201201-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for T Nonimmigrant Status; Application for Immediate Family Member of T-1 Recipient; & Declaration of Law Enforcement Officer for Victim of Trafficking in Persons,No,5/4/12,5/31/14,Form, ,"Form I-914, Supplement A",Supplement A: Application for Immediate Family Member of T-1 Recipient,I914SuppA-FRM-OMBReview-02272012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0099,201201-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for T Nonimmigrant Status; Application for Immediate Family Member of T-1 Recipient; & Declaration of Law Enforcement Officer for Victim of Trafficking in Persons,No,5/4/12,5/31/14,Form, ,I-914,Application for T Nonimmigrant Status,I914-FRM-OMBReview-02272012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0099,201201-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for T Nonimmigrant Status; Application for Immediate Family Member of T-1 Recipient; & Declaration of Law Enforcement Officer for Victim of Trafficking in Persons,No,5/4/12,5/31/14,Form, ,"I-914, Supplement B","Supplement B, Declaration of Law Enforcement Officer for Victim of Trafficking in Persons",I914SuppB-FRM-OMBReview-02272012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0099,201201-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for T Nonimmigrant Status; Application for Immediate Family Member of T-1 Recipient; & Declaration of Law Enforcement Officer for Victim of Trafficking in Persons,No,5/4/12,5/31/14,Instruction, , , ,I914-INS-OMBReview-02272012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0099,201201-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for T Nonimmigrant Status; Application for Immediate Family Member of T-1 Recipient; & Declaration of Law Enforcement Officer for Victim of Trafficking in Persons,No,5/4/12,5/31/14,Instruction, , , ,I914SuppB-INS-OMBReview-02272012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0100,201108-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for the Return of Original Documents,No,12/11/11,12/31/12,Form, ,Form G-884,Request for the Return of Original Documents,G-884.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0100,201108-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for the Return of Original Documents,No,12/11/11,12/31/12,Instruction, , , ,G-884 Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0101,201105-1615-006,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Document Verification Request and Document Verification Request Supplement,No,1/8/12,1/31/15,Form, ,G-845,Document Verification Request,G-845 02-14-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0101,201105-1615-006,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Document Verification Request and Document Verification Request Supplement,No,1/8/12,1/31/15,Form, ,G-845 Supplement,Document Verification Request Supplement,G-845 Supplement 05-20-2011.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0101,201105-1615-006,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Document Verification Request and Document Verification Request Supplement,No,1/8/12,1/31/15,Form, ,Web Screen Shots,Verification Information System,WEB-3 Screen Shots Updated 12-14-11.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0101,201105-1615-006,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Document Verification Request and Document Verification Request Supplement,No,1/8/12,1/31/15,Instruction, , , ,G-845 Supplement instr 05-20-2011_updated 12-09-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0101,201105-1615-006,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Document Verification Request and Document Verification Request Supplement,No,1/8/12,1/31/15,Instruction, , , ,G-845 inst 02-14-2011_updated 12-09-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,"State, Local, and Tribal Governments"
1615-0102,201109-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Freedom of Information/Privcy Act Request,No,1/29/12,1/31/15,Form, ,G-639,Freedom of Information/Privacy Act Request,G-639 Form 8-23-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0102,201109-1615-002,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Freedom of Information/Privcy Act Request,No,1/29/12,1/31/15,Instruction, , , ,G-639 Instructions 8-23-11.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0104,201009-1615-015,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for U Nonimmigrant,No,10/15/10,8/31/12,Form, ,Form I-918,Petition for U Nonimmigrant,I-918 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0104,201009-1615-015,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for U Nonimmigrant,No,10/15/10,8/31/12,Instruction, , , ,I-918 Inst FR2010_08312010.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0105,200902-1615-001,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Entry of Appearance as Attorney or Accredited Representative; Notice of Entry of  Appearance of Foreign Attorney     ,No,4/22/09,8/31/12,Form and Instruction, ,G-28,Notice of Entry of Appearance as Attorney or Accredited Representative,G-28 01-23-09.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0105,200902-1615-001,ICR Rev,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Notice of Entry of Appearance as Attorney or Accredited Representative; Notice of Entry of  Appearance of Foreign Attorney     ,No,4/22/09,8/31/12,Form and Instruction, ,G-28I,Notice of Entry of  Appearance of Foreign Attorney     ,G-28I 01-23-09.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0106,201105-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Qualifying Family Member of a U-1 Nonimmigrant ,No,10/4/11,10/31/12,Form, ,I-929,Petition for Qualifying Family Member of a U-1 Nonimmigrant ,i-929 Form.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0106,201105-1615-001,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for Qualifying Family Member of a U-1 Nonimmigrant ,No,10/4/11,10/31/12,Instruction, , , ,i-929instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0108,200909-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Non-User Survey and Employee-Employer Survey in Arizona,No,1/5/10,1/31/13,Other,Survey, , ,Worker5-19-09 Latest.doc, ,No, ,Printable Only,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0108,200909-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Non-User Survey and Employee-Employer Survey in Arizona,No,1/5/10,1/31/13,Other,Survey, , ,Non-User Survey 5-19-09 Latest.doc,EVsurvey@westat.com,Yes,Yes,Fillable Fileable,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0108,200909-1615-005,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Non-User Survey and Employee-Employer Survey in Arizona,No,1/5/10,1/31/13,Other,Survey, , ,Employer 5-19-09 Latest.doc, ,No, ,Printable Only,Homeland Security,Key Asset and Critical Infrastructure Protection,Private Sector
1615-0109,201103-1615-003,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Notification of Application/Petition Acceptance ,No,5/25/11,8/31/12,Form and Instruction, ,G-1145,E-Notification of Application/Petition Acceptance,g-1145form & instr.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0111,201104-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for CNMI-Only Nonimmigrant Transition Worker,No,8/12/11,10/31/12,Form, ,Form I-129CW,Petition for CNMI-Only Nonimmigrant Transition Worker,I-129CW form (04-05-11).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0111,201104-1615-001,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition for CNMI-Only Nonimmigrant Transition Worker,No,8/12/11,10/31/12,Instruction, , , ,I-129 CW inst (04-05-11).pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0112,201003-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,CNMI Employment Eligibility Verification ,No,6/27/10,6/30/13,Form and Instruction, ,I-9CNMI,CNMI Employment Eligibility Verification ,i-9_cnmi.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0113,200910-1615-012,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,InfoPass System,No,1/13/10,1/31/13,Other,Screen Shots for Online System, , ,Screen Shots 7-16-09.doc, ,Yes,Yes,Fillable Fileable Signable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0114,201009-1615-022,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Civil Surgeon Designation Registration ,No,10/15/10,7/31/13,Other,Web Announcement, , ,Designated Civil Surgeons IC.doc, ,No, ,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Adv Letters to Web Survey Users, , ,ATTACHMENT A _to OMB Clearance-Adv Letters for Web Survey Users.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Web, , ,ATTACHMENT  B _to OMB Clearance.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Designated agents and their Users, , ,ATTACHMENT C _to OMB Clearance - Designated Agents and their Users.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Assurance of Confidentiality Statements, , ,ATTACHMENT H _to OMB Clearance - Assurance of Confidentiality Statement.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Stakeholders Meeting Summary 2007 (DC), , ,ATTACHMENT G _to OMB Clearance - Stakeholders Meeting Summary 2007 (DC).doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Designated Agent interview Protocol, , ,ATTACHMENT D _to OMB Clearance - Designated Agent Interview Protocol.rtf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Users of Designated Agents, , ,ATTACHMENT E _to OMB Clearance - Users of Designated Agents.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0115,201004-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collections,No,7/29/10,7/31/13,Other,Survey - Arizona Stakeholders Meeting, , ,ATTACHMENT F _to OMB Clearance - Arizona Stakeholders Meeting.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0116,201107-1615-012,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Fee Waiver,No,1/2/12,10/31/12,Form, ,I-912,Request for Fee Waiver,I-912 Form Rev 07222011 Per DS.pdf,uscis.gov,Yes,No,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0116,201107-1615-012,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Fee Waiver,No,1/2/12,10/31/12,Other,Poverty Guidelines, , ,I-912P pdf 07222011_LJN .pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0116,201107-1615-012,ICR Chg,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request for Fee Waiver,No,1/2/12,10/31/12,Instruction, , , ,I-912 Instr FINAL Rev 07262011.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0117,201012-1615-003,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Self Check Program ,No,2/28/11,2/28/14,Other,Screen Shots, , ,Screen Shots Self Check 12-8-10.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0117,201012-1615-003,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Self Check Program ,No,2/28/11,2/28/14,Other,Screen Shot in Word Document 12-21-10, , ,E-Verify Self Check Website Content - 12-21-10.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0118,201105-1615-002,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS Intake Page for Pay.Gov,No,8/2/11,8/31/14,Other,Screenshot, , ,USCIS Fee Payment Form Pay Gov ScreenShot.doc,www.pay.gov,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey:  Mandatory Survey, , ,OMB Attachment E - Mandatory Survey.docx,https://www.udallcenter.arizona.edu/evm,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey;  Letter to Non-Mandatory, , ,OMB Attachment D - USCIS Ltr to Non-Mandatory.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey:  Email to Non-Mandatory, , ,OMB Attachment C - Email to Non-Mandatory.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey: Email to Mandatory, , ,OMB Attachment A - Email to Mandatory.doc, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey:  Non-Mandatory Survey, , ,OMB Attachment F - Non Mandatory Survey.docx,https://www.udallcenter.arizona.edu/evm,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey: Letter to Mandatory, , ,OMB Attachment B - USCIS Ltr to Mandatory.docx, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0119,201104-1615-004,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,E-Verify Program Data Collection,No,9/11/11,9/30/14,Other,Survey: Non Disclosure Agreement, , ,Attachment G Non Disclosure Agreement.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0120,201106-1615-004,ICR Exist w/o OMB,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Civics and Citizenship Toolkit/Teacher Training Registration,No,9/22/11,9/30/14,Form, ,G-1190,Free Training for Civics and Citizenship of Adults,Form G-1190 (9-21-11).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0120,201106-1615-004,ICR Exist w/o OMB,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Civics and Citizenship Toolkit/Teacher Training Registration,No,9/22/11,9/30/14,Form, ,OMB-58,Toolkit Registration Form,Screenshot - Toolkit Registration Online Form (9-21-11).JPG,http://www.citizenshiptoolkit.gov/RegisterUser.aspx,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS.gov Information Gathering Questionnaire,No,12/13/11,12/31/14,Form, ,M-470,USCIS.gov Information Gathering Questionnaire,M740-USCIS.gov Information Gathering Questionnaire 4-13-12.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Website Info Gathering, Usability Testing and Card Sorting Exercise",No,12/13/11,12/31/14,Form, ,M-740,USCIS.gov Information Gathering Questionnaire,M740-USCIS.gov Information Gathering Questionnaire 4-13-12.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"USCIS Electronic Customer Satisfaction Survey, Local Offc In-Person Survey, and NCSC 800-LIne Telephone Survey",No,12/13/11,12/31/14,Form, ,N/A,National Customer Service Center 800-Line Telephone Survey,3-a NCSC 800-Line Telephone Survey.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"USCIS Electronic Customer Satisfaction Survey, Local Offc In-Person Survey, and NCSC 800-LIne Telephone Survey",No,12/13/11,12/31/14,Form, ,N/A,USCIS Electronic Customer Satisfaction Survey (E-Survey),1-a USCIS Electronic Customer Satisfaction Survey.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"USCIS Electronic Customer Satisfaction Survey, Local Offc In-Person Survey, and NCSC 800-LIne Telephone Survey",No,12/13/11,12/31/14,Form, ,N/A,USCIS Local Office In-Person Customer Satisfaction Survey,2-a USCIS Local Office In-Person Customer Satisfaction Survey.pdf, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Website Info Gathering, Usability Testing and Card Sorting Exercise",No,12/13/11,12/31/14,Form, ,n/a,Website Usability Test Scenarios,Website_Usability_Test Scenarios_4-12-12.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Website Info Gathering, Usability Testing and Card Sorting Exercise",No,12/13/11,12/31/14,Other,Card Sorting Exercise Topics, , ,Card_Sorting_Exercise_Topics 4-11-12.doc, ,Yes,Yes,Fillable Fileable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0121,201106-1615-006,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,ELIS Customer Service Survey,No,12/13/11,12/31/14,Other,Survey - ELIS Customer Service Survey, , ,USCIS_Proposed_ESurvey 20111216.doc,http://www.zzzzzzzzzzzz.com,Yes,Yes,Fillable Fileable Signable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0122,201108-1615-001,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS's Electronic Immigration System (USCIS ELIS),No,1/12/12,1/31/15,Other,Decision Tree, , ,Decision Tree (Application to Change-Extend Nonimmigrant Status).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0122,201108-1615-001,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS's Electronic Immigration System (USCIS ELIS),No,1/12/12,1/31/15,Other,Decision Tree, , ,Decision Tree (Supplemental Biographic Information).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0122,201108-1615-001,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS's Electronic Immigration System (USCIS ELIS),No,1/12/12,1/31/15,Other,Screenshot, , ,Updated OMB_Screens_102611_ver1.pdf,uscis.gov,Yes,Yes,Fillable Fileable Signable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0122,201108-1615-001,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,USCIS's Electronic Immigration System (USCIS ELIS),No,1/12/12,1/31/15,Instruction, , , ,Instructions Updated 8-30-2011 PPRM (2).DOCX, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0124,201206-1615-008,ICR New,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application for Deferred Action for Childhood Arrivals,No,8/14/12,2/28/13,Form, ,Request for Deferred Action for Childhood Arrival ,I-821D,I821D-FRM-OMBReview-08132012(Publish).pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
